Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
CFLU4;"1.000,00";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"8,88%";"10,72%";"1,10";"17,68%";"32,15%";"0,00";"60.351.000,00";"0,06";"8,14%"
MNSA4;"0,47";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"-208,15%";"-362,66%";"3,63";"-13,50%";"145,70%";"0,00";"-9.105.000,00";"-6,52";"-41,11%"
PMET3;"0,00";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"4,10%";"0,00";"-290.863.000,00";"0,00";"37,74%"
IVTT3;"0,00";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"-0,40%";"0,00";"1.083.050.000,00";"0,00";"20,67%"
CLAN3;"0,00";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"-1,05%";"0,00";"1.012.240.000,00";"0,00";"-63,96%"
POPR4;"10,17";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"8,66%";"5,65%";"1,08";"15,25%";"19,93%";"0,00";"545.803.000,00";"0,82";"30,93%"
PORP4;"2,40";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"-2,08%";"0,00";"22.399.000,00";"0,00";"13,66%"
MNSA3;"0,42";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"-208,15%";"-362,66%";"3,63";"-13,50%";"145,70%";"0,00";"-9.105.000,00";"-6,52";"-41,11%"
CSTB4;"147,69";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"40,85%";"28,98%";"2,60";"22,40%";"20,11%";"0,00";"8.420.670.000,00";"0,14";"31,91%"
CSTB3;"150,00";"0,00";"0,00";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"40,85%";"28,98%";"2,60";"22,40%";"20,11%";"0,00";"8.420.670.000,00";"0,14";"31,91%"
BBTG12;"3,15";"-265.986,00";"33.248,30";"0,000";"0,00%";"240,060";"0,00";"-123,83";"0,00";"-123,83";"-123,83";"0,00%";"0,00%";"0,00";"0,00%";"-12,50%";"0,00";"8.000,00";"0,00";"0,00%"
GNDI3;"66,95";"-3.584,82";"5,84";"3,423";"2,39%";"2,378";"79,65";"87,05";"-6,21";"91,13";"50,88";"3,93%";"-0,09%";"1,17";"3,09%";"-0,16%";"0,00";"7.116.080.000,00";"0,53";"25,23%"
AGRO3;"20,60";"-1.341,34";"1,02";"2,077";"3,65%";"0,566";"5,20";"90,88";"-3,63";"145,37";"34,45";"2,29%";"-0,15%";"1,61";"0,67%";"-0,08%";"4.753.980,00";"2.078.030.000,00";"0,64";"-11,84%"
GOLL4;"0,79";"-728,51";"-55,91";"43,009";"0,00%";"35,628";"-177,53";"673,75";"-27,19";"682,72";"216,02";"6,38%";"-5,90%";"0,62";"6,69%";"7,67%";"0,00";"-17.002.400.000,00";"-0,94";"27,25%"
CASH3;"3,84";"-700,14";"0,85";"0,945";"0,00%";"0,686";"4,33";"22,30";"5,43";"17,73";"9,30";"4,24%";"-0,25%";"2,05";"3,66%";"-0,12%";"6.397.160,00";"511.484.000,00";"0,00";"11,71%"
PLDN4;"486,00";"-553,07";"1,08";"0,919";"0,00%";"0,611";"1,07";"-75,56";"3,10";"-33,12";"-33,12";"-1,22%";"-0,17%";"10,81";"-1,27%";"-0,20%";"0,00";"289.939.000,00";"0,01";"10,26%"
CBEE3;"9,95";"-499,18";"0,46";"0,462";"3,53%";"0,210";"-2,02";"3,24";"-0,66";"6,15";"4,09";"14,26%";"-0,09%";"0,68";"7,34%";"-0,09%";"3.687,61";"9.884.100.000,00";"0,44";"4,14%"
LCSA4;"35,09";"-337,52";"-228,00";"79,738";"0,00%";"125,308";"-202,27";"-505,80";"-96,61";"-506,56";"-506,56";"-15,77%";"-23,63%";"0,29";"-28,74%";"67,55%";"0,00";"-377.568.000,00";"-0,35";"6.354,07%"
BHGR3;"19,10";"-272,16";"1,10";"3,613";"0,00%";"0,855";"-194,45";"23,70";"-8,56";"25,95";"14,20";"15,24%";"-1,31%";"0,96";"3,93%";"-0,40%";"0,00";"1.077.600.000,00";"0,20";"20,67%"
DMMO3;"1,76";"-258,65";"-1,72";"2,854";"0,00%";"3,346";"11,90";"6,37";"-1,37";"5,90";"5,42";"44,81%";"-1,10%";"2,25";"70,39%";"0,66%";"0,00";"-553.275.000,00";"0,00";"-17,37%"
RJCP3;"0,01";"-224,70";"0,65";"0,000";"0,00%";"0,619";"0,00";"-522,94";"0,00";"-523,96";"-917,32";"0,00%";"0,00%";"0,00";"0,00%";"-0,29%";"0,00";"17.287.200,00";"0,00";"0,00%"
ABYA3;"4,91";"-214,80";"1,76";"2,055";"0,00%";"0,527";"1,98";"19,96";"-2,75";"33,67";"33,67";"10,29%";"-0,96%";"2,09";"2,78%";"-0,82%";"0,00";"292.060.000,00";"1,31";"16,41%"
PITI4;"1,28";"-204,74";"0,00";"0,000";"0,00%";"0,000";"0,00";"-2.637,65";"0,00";"-2.637,65";"111,07";"0,00%";"0,00%";"0,00";"0,00%";"0,00%";"0,00";"0,00";"0,00";"-29,63%"
BIOM4;"8,68";"-177,64";"3,79";"4,411";"0,00%";"2,266";"7,67";"225,79";"16,89";"235,94";"235,94";"1,95%";"-2,48%";"2,23";"1,27%";"-2,13%";"0,00";"313.508.000,00";"0,31";"24,02%"
BIOM3;"7,51";"-153,70";"3,28";"3,816";"0,00%";"1,961";"6,64";"195,35";"14,61";"205,51";"205,51";"1,95%";"-2,48%";"2,23";"1,27%";"-2,13%";"557.462,00";"313.508.000,00";"0,31";"24,02%"
LCSA3;"12,50";"-120,23";"-81,22";"28,405";"0,00%";"44,638";"-72,05";"-180,18";"-34,41";"-180,95";"-180,95";"-15,77%";"-23,63%";"0,29";"-28,74%";"67,55%";"0,00";"-377.568.000,00";"-0,35";"6.354,07%"
MAGG3;"59,40";"-119,98";"1,32";"0,684";"0,00%";"0,440";"9,32";"4,07";"-1,55";"6,41";"5,34";"16,82%";"-0,57%";"1,14";"14,05%";"-1,10%";"0,00";"2.246.130.000,00";"1,03";"9,27%"
SQIA3;"27,37";"-110,33";"3,70";"3,592";"0,00%";"1,490";"25,87";"62,33";"-3,84";"67,32";"18,50";"5,76%";"-2,88%";"1,43";"2,81%";"-3,35%";"0,00";"650.717.000,00";"0,65";"46,32%"
